venue,city,neighborhood,day,time,deal_type,deal_description,latenight,taco_tuesday,beer,wine,cocktail,margarita,featured,hot,url
Pikes Perk Tavern,Colorado Springs,Old North End,Monday,3pm-6pm,Drink,"$3 off all draft beers",0,0,1,0,0,0,0,1,
Pikes Perk Tavern,Colorado Springs,Old North End,Monday,3pm-6pm,Food,"Half price loaded nachos",0,0,0,0,0,0,0,1,
Pikes Perk Tavern,Colorado Springs,Old North End,Tuesday,3pm-6pm,Drink,"$3 off all draft beers",0,0,1,0,0,0,0,0,
Pikes Perk Tavern,Colorado Springs,Old North End,Tuesday,3pm-6pm,Food,"$2 tacos all day",0,1,0,0,0,0,0,0,
Pikes Perk Tavern,Colorado Springs,Old North End,Wednesday,3pm-6pm,Drink,"$3 off all draft beers",0,0,1,0,0,0,0,0,
Pikes Perk Tavern,Colorado Springs,Old North End,Thursday,3pm-6pm,Drink,"$3 off all draft beers",0,0,1,0,0,0,0,0,
Pikes Perk Tavern,Colorado Springs,Old North End,Friday,3pm-6pm,Drink,"$3 off all draft beers",0,0,1,0,0,0,0,0,
Garden of the Gods Grille,Colorado Springs,Westside,Monday,4pm-7pm,Drink,"House margaritas $6",0,0,0,0,0,1,1,0,https://example.com/menu/garden-grille
Garden of the Gods Grille,Colorado Springs,Westside,Monday,4pm-7pm,Food,"$5 street corn",0,0,0,0,0,0,1,0,https://example.com/menu/garden-grille
Garden of the Gods Grille,Colorado Springs,Westside,Tuesday,4pm-7pm,Drink,"House margaritas $6",0,0,0,0,0,1,0,0,https://example.com/menu/garden-grille
Garden of the Gods Grille,Colorado Springs,Westside,Tuesday,4pm-7pm,Food,"$2 street tacos, all day",0,1,0,0,0,0,0,0,https://example.com/menu/garden-grille
Garden of the Gods Grille,Colorado Springs,Westside,Wednesday,4pm-7pm,Drink,"House margaritas $6",0,0,0,0,0,1,0,0,https://example.com/menu/garden-grille
Garden of the Gods Grille,Colorado Springs,Westside,Thursday,4pm-7pm,Drink,"House margaritas $6",0,0,0,0,0,1,0,0,https://example.com/menu/garden-grille
Garden of the Gods Grille,Colorado Springs,Westside,Friday,4pm-7pm,Drink,"House margaritas $6",0,0,0,0,0,1,0,0,https://example.com/menu/garden-grille
Garden of the Gods Grille,Colorado Springs,Westside,Saturday,4pm-7pm,Drink,"House margaritas $6",0,0,0,0,0,1,0,0,https://example.com/menu/garden-grille
Cheyenne Mountain Cellars,Colorado Springs,Broadmoor,Monday,5pm-8pm,Drink,"Wine flights 25% off",0,0,0,1,0,0,0,0,
Cheyenne Mountain Cellars,Colorado Springs,Broadmoor,Wednesday,5pm-8pm,Drink,"Wine flights 25% off",0,0,0,1,0,0,0,0,
Cheyenne Mountain Cellars,Colorado Springs,Broadmoor,Wednesday,5pm-8pm,Food,"Cheese board for two, $14",0,0,0,0,0,0,0,0,
Cheyenne Mountain Cellars,Colorado Springs,Broadmoor,Friday,5pm-8pm,Drink,"Wine flights 25% off",0,0,0,1,0,0,0,0,
Cheyenne Mountain Cellars,Colorado Springs,Broadmoor,Saturday,5pm-9pm,Drink,"Wine flights 25% off",1,0,0,1,0,0,0,0,
Manitou Mule House,Colorado Springs,Manitou Springs,Monday,4pm-close,Drink,"$5 mules, all flavors",1,0,0,0,1,0,0,0,
Manitou Mule House,Colorado Springs,Manitou Springs,Tuesday,4pm-close,Drink,"$5 mules, all flavors",1,0,0,0,1,0,0,0,
Manitou Mule House,Colorado Springs,Manitou Springs,Tuesday,4pm-close,Food,"BOGO street tacos",1,1,0,0,0,0,0,0,
Manitou Mule House,Colorado Springs,Manitou Springs,Wednesday,4pm-close,Drink,"$5 mules, all flavors",1,0,0,0,1,0,0,0,
Manitou Mule House,Colorado Springs,Manitou Springs,Thursday,4pm-close,Drink,"$5 mules, all flavors",1,0,0,0,1,0,0,0,
Manitou Mule House,Colorado Springs,Manitou Springs,Friday,4pm-close,Drink,"$5 mules, all flavors",1,0,0,0,1,0,0,0,
Manitou Mule House,Colorado Springs,Manitou Springs,Saturday,4pm-close,Drink,"$5 mules, all flavors",1,0,0,0,1,0,0,0,
Manitou Mule House,Colorado Springs,Manitou Springs,Sunday,4pm-close,Drink,"$5 mules, all flavors",1,0,0,0,1,0,0,0,
Austin Bluffs Brewhouse,Colorado Springs,North End,Monday,2pm-5pm,Drink,"$1 off all pints",0,0,1,0,0,0,0,0,
Austin Bluffs Brewhouse,Colorado Springs,North End,Tuesday,2pm-5pm,Drink,"$1 off all pints",0,0,1,0,0,0,0,0,
Austin Bluffs Brewhouse,Colorado Springs,North End,Wednesday,2pm-5pm,Drink,"$1 off all pints",0,0,1,0,0,0,0,0,
Austin Bluffs Brewhouse,Colorado Springs,North End,Wednesday,2pm-5pm,Food,"Half price pretzel boards",0,0,0,0,0,0,0,0,
Austin Bluffs Brewhouse,Colorado Springs,North End,Thursday,2pm-5pm,Drink,"$1 off all pints",0,0,1,0,0,0,0,0,
